fecha,udis
08/05/2022,7.317414
09/05/2022,7.318183
10/05/2022,7.318951
11/05/2022,7.319811
12/05/2022,7.320672
13/05/2022,7.321532
14/05/2022,7.322393
15/05/2022,7.323254
16/05/2022,7.324115
17/05/2022,7.324976
18/05/2022,7.325837
19/05/2022,7.326698
20/05/2022,7.327559
21/05/2022,7.32842
22/05/2022,7.329282
23/05/2022,7.330143
24/05/2022,7.331005
25/05/2022,7.331867
26/05/2022,7.331571
27/05/2022,7.331275
28/05/2022,7.33098
29/05/2022,7.330684
30/05/2022,7.330388
31/05/2022,7.330093
01/06/2022,7.329797
02/06/2022,7.329501
03/06/2022,7.329206
04/06/2022,7.32891
05/06/2022,7.328615
06/06/2022,7.328319
07/06/2022,7.328024
08/06/2022,7.327728
09/06/2022,7.327433
10/06/2022,7.327137
11/06/2022,7.328622
12/06/2022,7.330108
13/06/2022,7.331594
14/06/2022,7.333081
15/06/2022,7.334567
16/06/2022,7.336054
17/06/2022,7.337542
18/06/2022,7.339029
19/06/2022,7.340517
20/06/2022,7.342005
21/06/2022,7.343494
22/06/2022,7.344983
23/06/2022,7.346472
24/06/2022,7.347961
25/06/2022,7.349451
26/06/2022,7.351863
27/06/2022,7.354275
28/06/2022,7.356689
29/06/2022,7.359103
30/06/2022,7.361518
01/07/2022,7.363934
02/07/2022,7.36635
03/07/2022,7.368768
04/07/2022,7.371186
05/07/2022,7.373605
06/07/2022,7.376025
07/07/2022,7.378445
08/07/2022,7.380866
09/07/2022,7.383288
10/07/2022,7.385711
11/07/2022,7.387652
12/07/2022,7.389594
13/07/2022,7.391535
14/07/2022,7.393478
15/07/2022,7.395421
16/07/2022,7.397364
17/07/2022,7.399308
18/07/2022,7.401252
19/07/2022,7.403197
20/07/2022,7.405143
21/07/2022,7.407089
22/07/2022,7.409035
23/07/2022,7.410982
24/07/2022,7.412929
25/07/2022,7.414877
26/07/2022,7.416859
27/07/2022,7.418842
28/07/2022,7.420824
29/07/2022,7.422808
30/07/2022,7.424792
31/07/2022,7.426776
01/08/2022,7.428761
02/08/2022,7.430747
03/08/2022,7.432733
04/08/2022,7.43472
05/08/2022,7.436707
06/08/2022,7.438695
07/08/2022,7.440683
08/08/2022,7.442672
09/08/2022,7.444661
10/08/2022,7.446651
11/08/2022,7.447777
12/08/2022,7.448904
13/08/2022,7.450031
14/08/2022,7.451158
15/08/2022,7.452286
16/08/2022,7.453413
17/08/2022,7.454541
18/08/2022,7.455668
19/08/2022,7.456796
20/08/2022,7.457925
21/08/2022,7.459053
22/08/2022,7.460182
23/08/2022,7.46131
24/08/2022,7.462439
25/08/2022,7.463568
26/08/2022,7.465516
27/08/2022,7.467464
28/08/2022,7.469413
29/08/2022,7.471363
30/08/2022,7.473313
31/08/2022,7.475263
01/09/2022,7.477214
02/09/2022,7.479166
03/09/2022,7.481118
04/09/2022,7.48307
05/09/2022,7.485023
06/09/2022,7.486977
07/09/2022,7.488931
08/09/2022,7.490885
09/09/2022,7.49284
10/09/2022,7.494796
11/09/2022,7.496406
12/09/2022,7.498017
13/09/2022,7.499628
14/09/2022,7.50124
